tanggal,judul,label
"September 23, 2020",ANIES JUARA PERTAMA LOMBA NGOMONG TINGKAT INTERNASIONAL,1
"September 23, 2020",Kunyah Daun Sirih Untuk Mengatasi Covid-19,1
"September 23, 2020",SPK Tender Pengadaan Barang di Masa Pandemi oleh BPPBJ,1
"September 23, 2020",Daun Mimba Dapat Menyembuhkan Covid-19,1
"September 23, 2020","AWAS!! Kuas Bulu Babi, Fatwa MUI: Haram",1
"September 22, 2020",Topik Teratas Periksa Fakta MAFINDO Periode 12-18 September 2020,0
"September 22, 2020",Di Pesan Khusus Peti Mati dari Kardus Untuk Ketua KPU,1
"September 22, 2020","Terancam Batal , Hampir 15 Juta Pekerja Terancam Batal Terima Subsidi Gaji Rp 600 Ribu",1
"September 22, 2020",Foto Trump dan Anak yang Dikurung sebagai Sampul Majalah TIME,1
"September 22, 2020","Akhir nya keluar juga Fatwa Qishos dari GNPF ULAMA, FPI & PA 212 walaw agak terlambat",1
"September 22, 2020",Foto Anies Baswedan Dinobatkan Menjadi Gubernur Terbaik Dunia,1
"September 22, 2020",HRS dilaporkan tewas tertabrak Unta pada acara Balapan Unta di Arab Saudi,1
"September 22, 2020",Video Banjir Bandang Sukabumi Jawa Barat 21 September 2020,1
"September 22, 2020",Kolase Foto Wong iklan caleg2 PKS isinya Poligami doang,1
"September 22, 2020",surat panggilan tes interview PT. Pertamina 25 September 2020,1
"September 22, 2020",Razia Masker Non Medis dengan Denda Rp30 Ribu di Bundaran SMP 5 Malang,1
"September 22, 2020",Tweet Habib Rizieq: Ane pernah kebagian sembako atau BLT selama ini,1
"September 21, 2020",Kemenag Resmi Luncurkan Sertifikasi Dai,1
"September 21, 2020",Memecahkan Kaca Mobil dengan Garam dan Air Liur,1
"September 21, 2020",Ternyata ini gunanya Wapres Ulama Jarang Ngomong Pas Sekali Ngomong NGAJAK ORANG NONTON PAHA,1
"September 21, 2020",Mendikbud Hapus Mata Pelajaran Sejarah,1
"September 21, 2020",Minum Kopi 3 x Sehari untuk menangkal Covid-19,1
"September 21, 2020",Acara Wisuda 4000 Hafidz Al-Quran di Sarajevo,1
"September 21, 2020","Foto Calon Wabup Muratara, Inayatullah Berduaan dengan Wanita di Dalam Mobil",1
"September 21, 2020",Pencipta PR untuk Pertama Kalinya Bernama Roberto Nevilis,1
"September 21, 2020",Minyak Kayu Putih Dapat Memutihkan ketiak,1
"September 20, 2020",Lowongan Kerja Menjadi Pamsuska PT KAI,1
"September 20, 2020",Presiden merangkap tim kemenangan pilkada si anak,1
"September 20, 2020",Video Penampakan tuyul di konter HP,1
"September 20, 2020",Surat Panggilan Kerja oleh PT Angkasa Pura I Periode September 2020,1
"September 20, 2020","Rizieq Shihab Bersumpah Najis Pulang Ke Indonesia, Kecuali Dijemput Jokowi & Megawati",1
"September 20, 2020",Pelarangan Masker Scuba Politik Perusahaan,1
"September 20, 2020",Tutorial Mendapat Kuota Gratis 20GB dari Program Covid-19,1
"September 20, 2020",Keok sebelum waktunya,1
"September 19, 2020",pengakuan si pelaku penusukan syeh ali jaber itu dibiayai oleh megawati dan sekutunya PKI,1
"September 19, 2020",Informasi Rekrutmen PLN Tingkat SMA/S1 Dibuka hingga 20 September 2020,1
"September 19, 2020",Nomor Whatsapp dan Akun Blog Kepala BKN Bima Haria Wibisana,1
"September 19, 2020",Kebakaran Hutan Berhenti di Perbatasan Amerika-Kanada,1
"September 19, 2020",Pernyataan Teddy Gusnaidi Sebut Anies Baswedan Bodoh dan Dungu,1
"September 19, 2020","Ketika di vaksin, microchip yg sangat kecil dipasang tanpa terasa, New Dajjal siap membunuh 7.5 milyard manusia",1
"September 19, 2020","Catut Nama Tjahjo Kumolo, Oknum Raup Rp3,8 Miliar dari Hoax Tes CPNS",0
"September 19, 2020",Surat Pengangkatan CPNS oleh Kementerian PANRB,1
"September 19, 2020",Foto judul berita   Syekh Ali Jaber dengan Kelompok Teroris,1
"September 19, 2020",Gambar KORLAP: FPI Jika Gubernur butuh Bantuan KAMI KAMI akan kerahkan LASKAR Untuk mengusir & menangkap CORONA,1
