index,ID,label,tanggal,judul,narasi,nama file gambar,text,clean
10,2588,1,2019-10-13 00:00:00,"Akhirnya, Jokowi bersedia mengundurkan diri","Akhirnya, Jokowi bersedia mengundurkan diri.
 Gue harus siap2 nih",2588.png,"akhirnya, jokowi bersedia mengundurkan diri akhirnya, jokowi bersedia mengundurkan diri. gue harus siap2 nih",jokowi sedia undur jokowi sedia undur gue nih
11,2875,1,2019-08-26 00:00:00,Info Jalur Rawan Begal dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur,"Begal sudah mulai merambat ke wilayah CIANJUR…!!!
 Wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hari…
 01. jalur gekbrong arah sukabmi…
 02. Cibeber dari arah campaka sampe
 cilaku.",2875.jpg,"info jalur rawan begal dan himbauan untuk tidak keluar malam oleh kapolres cianjur begal sudah mulai merambat ke wilayah cianjur…!!! wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hari… 01. jalur gekbrong arah sukabmi… 02. cibeber dari arah campaka sampe cilaku.",info jalur rawan begal himbauan malam kapolres cianjur begal rambat wilayah cianjur wilayah rewan begal harap waspada penuh malam 01 jalur gekbrong arah sukabmi 02 cibeber arah campaka sampe cilaku
12,2987,1,2019-07-29 00:00:00,Dirut PT Agung Podomoro Land Cosmas Batubara Meninggal Dunia,"Turut berduka cita atas
 meninggalnya Pejuang Angkatan 66 Bapak Cosmas Batubara hari Sabtu 27 Juli 2019 pukul 15.00 WIB. Semoga Yang Maha Kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi Nya.. Aamiin.",2987.png,dirut pt agung podomoro land cosmas batubara meninggal dunia turut berduka cita atas meninggalnya pejuang angkatan 66 bapak cosmas batubara hari sabtu 27 juli 2019 pukul 15.00 wib. semoga yang maha kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi nya.. aamiin.,dirut pt agung podomoro land cosmas batubara tinggal dunia duka cita tinggal juang angkat 66 cosmas batubara sabtu 27 juli 2019 1500 wib moga maha kuasa ampun dosa layak sisi nya aamiin
13,3571,1,2019-04-20 00:00:00,SBY Sudah Telepon Moeldoko Suruh Jokowi Akui Kekalahan,"Bantu sebar ya
Pak SBY sudah telpon Moeldoko, suruh JKW akui kekalahan. Ini info dari seorang jenderal… Jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
INFO VALID",3571.png,"sby sudah telepon moeldoko suruh jokowi akui kekalahan bantu sebar ya pak sby sudah telpon moeldoko, suruh jkw akui kekalahan. ini info dari seorang jenderal… jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02 info valid",sby telepon moeldoko suruh jokowi aku kalah bantu sebar sby telpon moeldoko suruh jokowi aku kalah info jenderal gak gusar panik juang juang 02 info valid
14,3862,1,2019-03-02 00:00:00,Foto Anak Rohingya Disiksa Komunis,Relakah anak cucu kita dibikin seperti anak2 rohingya ini ketika Komunis berkuasa…???,3862.jpg,foto anak rohingya disiksa komunis relakah anak cucu kita dibikin seperti anak2 rohingya ini ketika komunis berkuasa…???,foto anak rohingya siksa komunis rela anak cucu bikin anak rohingya komunis kuasa
15,4081,1,2019-01-25 00:00:00,orang Cina punya KTP Cilacap atas nama Karsono,"Ini kejadian di PLN PLTU Cilacap Bunton Adipala, orang Cina tidak bisa berbahasa Indonesia apalagi bahasa jawa Banyumasan tp punya KTP Cilacap atas nama Karsono, payah kie Camat dan Bupatine
Kalau bener2 terjadi…😭😭😭",4081.png,"orang cina punya ktp cilacap atas nama karsono ini kejadian di pln pltu cilacap bunton adipala, orang cina tidak bisa berbahasa indonesia apalagi bahasa jawa banyumasan tp punya ktp cilacap atas nama karsono, payah kie camat dan bupatine kalau bener2 terjadi…😭😭😭",orang cina ktp cilacap nama karsono jadi pln pltu cilacap bunton adipala orang cina bahasa indonesia bahasa jawa banyumasan ktp cilacap nama karsono payah kie camat bupatine bener loudly crying face loudly crying face loudly crying face
16,5836,1,2018-04-14 00:00:00,Fadli Zon : Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari Indonesia,Fadlizon: Semua warga Indonesia yg tdk pilih Prabowo di Pilpres 2019 akan km usir dr Indonesia. Serius ini si Zonk?! https://t.co/jVjxC0jhmp,5836.png,fadli zon : semua warga indonesia yang tidak pilih prabowo di pilpres 2019 akan kami usir dari indonesia fadlizon: semua warga indonesia yg tdk pilih prabowo di pilpres 2019 akan km usir dr indonesia. serius ini si zonk?! https://t.co/jvjxc0jhmp,fadli zon warga indonesia pilih prabowo pilpres 2019 usir indonesia fadlizon warga indonesia pilih prabowo pilpres 2019 km usir dr indonesia serius si zonk httpstcojvjxc0jhmp
17,5994,1,2018-03-14 00:00:00,Pesan Berantai Undian Berhadiah Dari Kementerian Tenaga Kerja Untuk Pekerja Migran Indonesia  di Hongkong,"INFORMASI RESMI DARI DEPNAKER REPUBLIK INDONESIA !!!!!
 Selamat Anda Terpilih Mendapatkan PENGHARGAAN sebesar NT $. 350.000 dari DEPARTEMEN KETENAGA KERJAAN INDONESIA. Sebagai Pahlawan Devisa Negara terbaik Tahun 2017-2018. Kode registrasi TWN37589
 Hubungi Call office:
 +62853-9313-1245
 A/n HARYONO
 Atau kunjungi Alamat Website:
 www.DEPNAKER.yolasite.com
 1. Bagi anda penerimah pemberitahuan ini melalui Telephone atau Sms Whatsapp. Berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi.
 2. Penghargaan Depnaker Bebas Biaya dan telah mendapat sertifikat Bebas pajak dari pemerintah Republik Indonesia.
 3. Pengurusan Penghargaan telah mendapat Pengawasan dari Kepolisian Negara Republik Indonesia dumaksudkan untuk menghindari hal-hal Negatif.
 Peringatan:
 HATI HATI PENIPUAN BILA DALAM PENGURUSAN ANDA DIMINTAI BIAYA, DARI OKNUM OKNUM YANG TIDAK BERTANGGUNH JAWAB. TANPA SEPENGETAHUAN DARI PIHAK DEPNAKER RI.
 pengirim:
 Depnaker Ri.
 73538373777",5994.png,"pesan berantai undian berhadiah dari kementerian tenaga kerja untuk pekerja migran indonesia di hongkong informasi resmi dari depnaker republik indonesia !!!!! selamat anda terpilih mendapatkan penghargaan sebesar nt $. 350.000 dari departemen ketenaga kerjaan indonesia. sebagai pahlawan devisa negara terbaik tahun 2017-2018. kode registrasi twn37589 hubungi call office: +62853-9313-1245 a/n haryono atau kunjungi alamat website: www.depnaker.yolasite.com 1. bagi anda penerimah pemberitahuan ini melalui telephone atau sms whatsapp. berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi. 2. penghargaan depnaker bebas biaya dan telah mendapat sertifikat bebas pajak dari pemerintah republik indonesia. 3. pengurusan penghargaan telah mendapat pengawasan dari kepolisian negara republik indonesia dumaksudkan untuk menghindari hal-hal negatif. peringatan: hati hati penipuan bila dalam pengurusan anda dimintai biaya, dari oknum oknum yang tidak bertanggunh jawab. tanpa sepengetahuan dari pihak depnaker ri. pengirim: depnaker ri. 73538373777",pesan beranta undi hadiah menteri tenaga kerja kerja migran indonesia hongkong informasi resmi depnaker republik indonesia selamat pilih harga nt 350000 departemen tenaga kerja indonesia pahlawan devisa negara baik 20172018 kode registrasi twn 37589 hubung office 6285393131245 haryono kunjung alamat website wwwdepnakeryolasitecom penerimah pemberitahuan telephone sms whatsapp resmi harga undi harga depnaker bebas biaya sertifikat bebas pajak perintah republik indonesia urus harga awas polisi negara republik indonesia dumaksudkan hindar negatif ingat hati hati tipu urus biaya oknum oknum bertanggunh tahu depnaker ri kirim depnaker ri 73538373777
18,6503,1,2017-12-11 00:00:00,Indonesia di Penuhi PKI,Hahhahhahahhaha indonesia di penuhi pki …gimanah nih pa kowi…..,6503.jpg,indonesia di penuhi pki hahhahhahahhaha indonesia di penuhi pki …gimanah nih pa kowi…..,indonesia penuh pki haha indonesia penuh pki gimanah nih pa kowi
19,6775,0,2017-10-25 00:00:00,Sandi Sarankan Warga Ngadu ke Kelurahan Saja,Astaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai Kota ,6775.jpg,sandi sarankan warga ngadu ke kelurahan saja astaga! sandiaga sarankan warga ngadu ke kelurahan saja tak perlu ke balai kota,sandi saran warga ngadu lurah astaga sandiaga saran warga ngadu lurah balai kota
20,6836,1,2017-10-12 00:00:00,Demo dan Konflik antara Ojek Online dengan Angkutan Umum di Bandung,"Prediksi Besok Bandung kota. Besok Di sinyalir ada Dua Kubu besar 1.Demo lg besar”an 2.Ojek Online gabungan Mau Kumpul Minta Tggung jawab ke kubu Angkot Gabungan, Soalnya Di jl.bkr Grab ojek Di Tabrak Sngaja sampe Mati, Di buah batu grab Mati Jg Di Tabrak Angkot, Di karapitan Grab jg Di Gebukin Angkot, Ada jg ojek online Yg Hilang Ga ada kabar.....",6836.jpg,"demo dan konflik antara ojek online dengan angkutan umum di bandung prediksi besok bandung kota. besok di sinyalir ada dua kubu besar 1.demo lg besar”an 2.ojek online gabungan mau kumpul minta tggung jawab ke kubu angkot gabungan, soalnya di jl.bkr grab ojek di tabrak sngaja sampe mati, di buah batu grab mati jg di tabrak angkot, di karapitan grab jg di gebukin angkot, ada jg ojek online yg hilang ga ada kabar.....",demo konflik ojek online angkut bandung prediksi besok bandung kota besok sinyalir kubu demo lg ojek online gabung kumpul tanggung kubu angkot gabung jl bkr grab ojek tabrak sengaja sampe mati buah batu grab mati jg tabrak angkot karapitan grab jg gebukin angkot jg ojek online hilang ga kabar
21,7038,0,2017-07-13 00:00:00,"Irina, Istri Ahli IT Hermansyah disebut Mantan PSK","Irina, Istri Ahli IT Hermansyah disebut Mantan PSK",7038.jpg,"irina, istri ahli it hermansyah disebut mantan psk irina, istri ahli it hermansyah disebut mantan psk",irina istri ahli hermansyah mantan psk irina istri ahli hermansyah mantan psk
22,7214,0,2017-03-08 00:00:00,"Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung","Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",7214.jpg,"nezar patria adalah kader pki, ikut rapat setiap malam di istana setelah jam 8 malam, demikian tuduhan dari alfian tandjung nezar patria adalah kader pki, ikut rapat setiap malam di istana setelah jam 8 malam, demikian tuduhan dari alfian tandjung",nezar patria kader pki rapat malam istana jam malam tuduh alfian tandjung nezar patria kader pki rapat malam istana jam malam tuduh alfian tandjung
23,7914,1,2016-07-13 00:00:00,: Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,7914.jpg,: hati -hati panggilan telpon nomor tidak dikenal !! hati -hati panggilan telpon nomor tidak dikenal !!,hati hati panggil telpon nomor kenal hati hati panggil telpon nomor kenal
24,8176,1,2015-09-15 00:00:00,Larangan anti-miras di Minimarket ditiadakan oleh rezim Jokowi paska Gobel,"Pada 16 April lalu, Menteri Perdagangan Rachmat Gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh Indonesia. Namun, larangan yang tertuang dalam Peraturan Menteri Perdagangan (Permendag) Nomor 06/M-DAG/PER/1/2015 tentang Pengendalian dan Pengawasan terhadap Pengadaan, Peredaran, dan Penjualan Minuman Beralkohol itu kini akan diubah.",8176.jpg,"larangan anti-miras di minimarket ditiadakan oleh rezim jokowi paska gobel pada 16 april lalu, menteri perdagangan rachmat gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh indonesia. namun, larangan yang tertuang dalam peraturan menteri perdagangan (permendag) nomor 06/m-dag/per/1/2015 tentang pengendalian dan pengawasan terhadap pengadaan, peredaran, dan penjualan minuman beralkohol itu kini akan diubah.",larang anti miras minimarket tiada rezim jokowi paska gobel 16 april menteri dagang rachmat gobel laku bijak larang jual minum alkohol alias minum keras minimarket indonesia larang tuang atur menteri dagang permendag nomor 06 dag 12015 kendali awas ada edar jual minum alkohol ubah
25,8330,1,2020-08-11 00:00:00,Corona adalah hoaks,CORONA IS A HOAX,8330.jpg,corona adalah hoaks corona is a hoax,corona hoaks corona hoax
26,8508,1,2020-07-28 00:00:00,Kapal Kargo Pengangkut Kadrun tenggelam di Laut China Selatan,"Kapal Kargo dari Indonesia tujuan ke China dilaporkan tenggelam di Laut China Selatan pada Sabtu malam pukul 22:00 waktu setempat akibat kebocoran lambung Kapal. Kapal tersebut mengangkut Kadrun tujuan China dengan tujuan sebagai objek percobaan Vaksin Covid-19, dimana harga monyet di China sangat mahal sementara harga Kadrun bisa 10 kali lebih murah dari harga monyet. Sampai saat ini masih dalam penyelidikan Otoritas Tiongkok mengenai sebab kecelakaan fatal tersebut.",8508.png,"kapal kargo pengangkut kadrun tenggelam di laut china selatan kapal kargo dari indonesia tujuan ke china dilaporkan tenggelam di laut china selatan pada sabtu malam pukul 22:00 waktu setempat akibat kebocoran lambung kapal. kapal tersebut mengangkut kadrun tujuan china dengan tujuan sebagai objek percobaan vaksin covid-19, dimana harga monyet di china sangat mahal sementara harga kadrun bisa 10 kali lebih murah dari harga monyet. sampai saat ini masih dalam penyelidikan otoritas tiongkok mengenai sebab kecelakaan fatal tersebut.",kapal kargo angkut kadrun tenggelam laut china selatan kapal kargo indonesia tuju china lapor tenggelam laut china selatan sabtu malam 2200 akibat bocor lambung kapal kapal angkut kadrun tuju china tuju objek coba vaksin covid 19 harga monyet china mahal harga kadrun 10 kali murah harga monyet lidi otoritas tiongkok celaka fatal
27,8624,1,2020-07-20 00:00:00,Foto Gubernur Anies sedang Makan dengan Sekumpulan Orang Jawa Tulen,"Terlihat sekumpulan orang Jawa tulen yang sedang menyantap kuliner khas Jawa, berupa nasi samin, kebab, buaya panggang, dan minumannya tentu fifis onta segar.. Percakapan dari mereka pun memakai bahasa Jawa halus alias kromo inggil pula..Seperti, ana, akhi, antum, afwan, dan lain lain.. Hmmm, sungguh mengagumkan sekali bukan? Nb : Seng wani protes PKI.. Opo kowe Bong? ,",8624.jpg,"foto gubernur anies sedang makan dengan sekumpulan orang jawa tulen terlihat sekumpulan orang jawa tulen yang sedang menyantap kuliner khas jawa, berupa nasi samin, kebab, buaya panggang, dan minumannya tentu fifis onta segar.. percakapan dari mereka pun memakai bahasa jawa halus alias kromo inggil pula..seperti, ana, akhi, antum, afwan, dan lain lain.. hmmm, sungguh mengagumkan sekali bukan? nb : seng wani protes pki.. opo kowe bong? ,",foto gubernur anies makan kumpul orang jawa tulen kumpul orang jawa tulen santap kuliner khas jawa nasi samin kebab buaya panggang minum fifis onta segar cakap pakai bahasa jawa halus alias kromo inggil ana akh antum afwan hmmm sungguh kagum nb seng wani protes pki opo kowe bong
28,8636,1,2020-07-19 00:00:00,Mulan Jameela Undur Diri dari DPR RI,Nah Mundur lebih terhormat daripada di pecat !! Hayo yang lain Monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya ..!!!,8636.jpg,mulan jameela undur diri dari dpr ri nah mundur lebih terhormat daripada di pecat !! hayo yang lain monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya ..!!!,mulan jameela undur dpr ri mundur hormat pecat hayo monggo undur sanggup becus kerja
29,8873,1,2020-06-24 00:00:00,"Video FKPPI dari Bandung sudah berkumpul di Monas, siap siaga apabila RUU HIP di-syahkan oleh DPR","*FKPPI dari Bandung sudah berkumpul di Monas, siap siaga segala kemungkinan terjadi apabila RUU HIP di-syahkan oleh DPR.* *Revolusi jihad mati syahid atau hidup mulia, bela negara dari ancaman Komunisme..!*”",8873.png,"video fkppi dari bandung sudah berkumpul di monas, siap siaga apabila ruu hip di-syahkan oleh dpr *fkppi dari bandung sudah berkumpul di monas, siap siaga segala kemungkinan terjadi apabila ruu hip di-syahkan oleh dpr.* *revolusi jihad mati syahid atau hidup mulia, bela negara dari ancaman komunisme..!*”",video fkppi bandung kumpul monas siaga ruu hip syah dpr fkppi bandung kumpul monas siaga ruu hip syah dpr revolusi jihad mati syahid hidup mulia bela negara ancam komunisme
30,8983,1,2020-06-11 00:00:00,30 Pembantu Baru Positif Corona di Penjaringan,Pembantu yang baru datang 30 Orang di tes semuanya positif Corona,8983.jpg,30 pembantu baru positif corona di penjaringan pembantu yang baru datang 30 orang di tes semuanya positif corona,30 bantu positif corona jaring bantu 30 orang tes positif corona
31,9226,1,2020-05-14 00:00:00,Foto SUDJIATMI DISIKSA DI ALAM BARZAKH,"SUDJIATMI DISIKSA DI ALAM BARZAKH Hj. Sudjiatmi ( Ibu Presiden Jokowi) Tersiksa di alam kubur secara sadis, secara brutal dan sangat kejam. Tanpa ampunan. Disaat tgl. 25 april 2020 bulan lalu Jenazah H. Sudjiatmi di semayamkan ke alam kubur, entah tiba2 hanya seorang yang belum beranjak dari makamnya. Beliau ternyata Presiden Joko Widodo.",9226.png,"foto sudjiatmi disiksa di alam barzakh sudjiatmi disiksa di alam barzakh hj. sudjiatmi ( ibu presiden jokowi) tersiksa di alam kubur secara sadis, secara brutal dan sangat kejam. tanpa ampunan. disaat tgl. 25 april 2020 bulan lalu jenazah h. sudjiatmi di semayamkan ke alam kubur, entah tiba2 hanya seorang yang belum beranjak dari makamnya. beliau ternyata presiden joko widodo.",foto sudjiatmi siksa alam barzakh sudjiatmi siksa alam barzakh hj sudjiatmi presiden jokowi siksa alam kubur sadis brutal kejam ampun saat tanggal 25 april 2020 jenazah sudjiatmi semayam alam kubur anjak makam beliau presiden joko widodo
32,9299,1,2020-05-09 00:00:00,Berdamai dengan Corona yang Dimaksud Jokowi adalah Pemerintah Telah Kalah dan Menyerah,"ASTAGHFIRULLAH, KEMARIN “BERSAMA KITA LAWAN VIRUS CORONA” SEKARANG “AYO KITA BERDAMAI DNGN VIRUS CORONA” ARTINYA PEMERINTAH TELAH KALAH DAN MENGIBARKAN BENDERA PUTIH TANDA MENYERAH.”",9299.jpg,"berdamai dengan corona yang dimaksud jokowi adalah pemerintah telah kalah dan menyerah astaghfirullah, kemarin “bersama kita lawan virus corona” sekarang “ayo kita berdamai dngn virus corona” artinya pemerintah telah kalah dan mengibarkan bendera putih tanda menyerah.”",damai corona jokowi perintah kalah serah astaghfirullah kemarin lawan virus corona ayo damai virus corona perintah kalah kibar bendera putih tanda serah
33,9522,1,2020-04-20 00:00:00,Penerima Stiker pada Pesan Whatsapp Dikenakan Sejumlah Biaya,"Tahukah teman2 ku di group ini… Kenapa menggunakan stiker, menguntungkan pembuat nya,, Setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima Rp.250,-.",9522.png,"penerima stiker pada pesan whatsapp dikenakan sejumlah biaya tahukah teman2 ku di group ini… kenapa menggunakan stiker, menguntungkan pembuat nya,, setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima rp.250,-.",terima sticker pesan whatsapp kena biaya tahu teman ku group sticker untung buat nya sticker gambar saudara kirim wa bayar beban kpd terima rp 250
